,speed,course,rot,collection_type,PC1,Pc2
0,6.0,48.4,-128.0,1,2.101553497966271,-2.231095295733545
35,6.5,61.9,-128.0,1,2.099017971167213,-1.9741892585702832
69,7.0,60.1,-128.0,1,2.0976154738719632,-1.839414291517512
788,9.5,57.2,-128.0,1,1.7986893206140144,-1.2291711553133873
5110,6.8,60.8,-128.0,1,2.098177953874382,-1.8934839267962813
5461,8.6,44.1,-128.0,1,2.093885797698326,-1.4898744072709478
5462,8.6,80.5,-128.0,1,2.0911902242383307,-1.1993142143283786
5463,8.6,44.1,-128.0,1,2.093885797698326,-1.4898744072709478
5464,8.6,57.1,-128.0,1,2.092923092891185,-1.3861029097914586
5465,8.6,80.5,-128.0,1,2.0911902242383307,-1.1993142143283786
5773,9.6,64.0,-128.0,1,2.089340529033377,-1.0327375354140205
10396,7.6,62.7,-128.0,1,2.095579979049817,-1.639687998130927
10397,7.6,62.7,-128.0,1,2.095579979049817,-1.639687998130927
10467,8.2,51.5,-128.0,1,2.09456643240756,-1.5501191405302606
15515,6.9,50.6,-128.0,1,2.0986261479001214,-1.9450759745548167
15662,7.9,69.6,-128.0,1,2.0941475280295143,-1.4951232832926231
16648,10.3,54.2,-128.0,1,2.0879161475120265,-0.9021646201286536
20893,7.7,57.6,-128.0,1,2.0956504965742946,-1.6505696891859702
20948,8.4,61.5,-128.0,1,2.0932115722946474,-1.4106375804029885
1,6.0,53.0,13.0,1,-0.3900850360568866,-2.219716935790642
2,6.0,53.0,12.0,1,-0.6638781927977724,-2.3318616925552176
3,6.0,58.0,-13.0,1,-0.222528980787043,-2.2874565310976305
4,6.0,56.0,-11.0,1,0.0337435050620931,-2.191456341980836
5,6.0,53.0,-13.0,1,-0.2221587097073737,-2.3273686455128204
6,6.0,53.0,7.0,1,-0.2840723601151915,-2.2186386045004705
7,6.0,58.0,-20.0,1,-0.098847525521732,-2.2861984779257627
8,6.0,57.0,18.0,1,-0.770187085603203,-2.301010332313236
9,6.0,57.0,-24.0,1,-0.0280983540113345,-2.293462013282019
10,6.0,52.0,9.0,1,-0.61079780061099,-2.339304949793163
11,6.0,57.0,-13.0,1,0.069007009493391,-2.1831144753344067
12,6.0,53.0,5.0,1,-0.5401967375324602,-2.3306036393833427
13,6.0,50.0,-17.0,1,-0.1512614297651083,-2.350597026635151
14,6.0,52.0,12.0,1,-0.6638041385818378,-2.3398441154382503
15,6.0,53.0,-26.0,1,0.007535421499633,-2.3250322610507776
16,6.0,50.0,-22.0,1,-0.0629175331470286,-2.349698417226673
17,6.0,50.0,7.0,1,-0.5753121335318903,-2.354910351795847
18,6.0,52.0,-8.0,1,-0.3104285521095195,-2.336249677804337
19,6.0,50.0,18.0,1,-0.7696687060916655,-2.3568872924944984
20,6.0,58.0,-15.0,1,-0.1871914221398116,-2.2870970873342413
21,6.0,58.0,-8.0,1,-0.3108728774051231,-2.288355140506111
22,6.0,58.0,-13.0,1,0.0689329552774571,-2.175132052451369
23,6.0,58.0,-17.0,1,-0.1518538634925799,-2.286737643570851
24,6.0,50.0,5.0,1,-0.5399745748846584,-2.3545509080324547
25,6.0,58.0,18.0,1,-0.7702611398191369,-2.2930279094301977
26,6.0,56.0,-16.0,1,-0.1693745343843278,-2.302882211218621
27,6.0,54.0,13.0,1,-0.6816210263373216,-2.324058991553871
28,6.0,51.0,18.0,1,-0.7697427603075991,-2.3489048696114607
29,6.0,57.0,-5.0,1,-0.3638051611600369,-2.296876729034236
36,6.5,56.0,-18.0,1,-0.1355727706210273,-2.15337943921299
37,6.5,54.0,15.0,1,-0.7184943798684847,-2.1752751070750227
38,6.5,55.0,-18.0,1,0.1559632196594072,-2.049037383449764
39,6.5,56.0,8.0,1,-0.5949610330350411,-2.158052208137077
40,6.5,53.0,9.0,1,-0.6124076497108552,-2.1821791986678853
41,6.5,56.0,-9.0,1,-0.00312984846907,-2.042672457501988
42,6.5,54.0,20.0,1,-0.8068382764865645,-2.1761737164835004
43,6.5,54.0,8.0,1,-0.5948129246031734,-2.174017053903153
44,6.5,55.0,-12.0,1,0.0499505437177116,-2.0501157147399383
45,6.5,53.0,-16.0,1,-0.1706881666204574,-2.177686151625496
46,6.5,55.0,13.0,1,-0.6832308754371869,-2.166933240428593
47,6.5,53.0,8.0,1,-0.5947388703872394,-2.1819994767861903
48,6.5,53.0,-18.0,1,-0.1353506079732255,-2.177326707862103
49,6.5,57.0,-16.0,1,0.1204775525803075,-2.0334319814470807
50,6.5,54.0,7.0,1,-0.5771441452795574,-2.173837332021457
51,6.5,53.0,17.0,1,-0.7537578842997826,-2.183616973721452
52,6.5,58.0,8.0,1,-0.5951091414669091,-2.1420873623710026
53,6.5,54.0,15.0,1,-0.4270324438039841,-2.062950628428758
5056,5.8,51.0,14.0,1,-0.698453325059563,-2.407843313381574
5057,5.8,52.0,8.0,1,-0.5925147033338015,-2.3987825592083625
5058,5.8,51.0,-12.0,1,-0.2390650626455492,-2.403170544457487
5059,5.8,53.0,18.0,1,-0.7692765507858946,-2.3925973551422817
5060,5.8,58.0,-18.0,1,0.1578911698491092,-2.233890774339786
5061,5.8,54.0,16.0,1,-0.7340130463545969,-2.3842554884958527
5062,5.8,49.0,15.0,1,-0.7159739959513111,-2.423987881029345
5063,5.8,56.0,-11.0,1,-0.2571041130488348,-2.363438151923994
5064,5.8,49.0,-13.0,1,-0.2212481748900654,-2.4189556683418667
5065,5.8,59.0,-12.0,1,0.0518044396914797,-2.2269866827469227
5066,5.8,51.0,-7.0,1,-0.3274089592636288,-2.404069153865965
5071,6.3,52.0,-11.0,1,0.03311824499547,-2.1339000365676424
5072,6.3,53.0,13.0,1,-0.6824684490517465,-2.2425554174915643
5073,6.3,57.0,-16.0,1,-0.1703700655306206,-2.20541379139024
5074,6.3,55.0,14.0,1,-0.4088234007427297,-2.1144458149609213
5075,6.3,55.0,15.0,1,-0.7179541161308461,-2.2269500154888804
5076,6.3,57.0,-16.0,1,0.12109187053388,-2.0930893127439765
5077,6.3,55.0,-16.0,1,-0.1702219570987527,-2.221378637156316
5078,6.3,54.0,-9.0,1,-0.2938293581481302,-2.2306191132112225
5079,6.3,55.0,-12.0,1,0.0505648616712841,-2.109773046036834
5080,6.3,53.0,18.0,1,-0.7708123456698259,-2.2434540269000425
5081,6.3,57.0,-13.0,1,0.0680855325630322,-2.093628478389064
5082,6.3,54.0,0.0,1,-0.4528483720606734,-2.2322366101464834
5083,6.3,56.0,-24.0,1,-0.0289457767257592,-2.211958439219712
